Date,Home Team,Away Team,Home Goals,Away Goals
2021-03-13,Dortmund,Hertha,2,0
2021-03-14,Leverkusen,Bielefeld,1,2
2021-03-14,RB Leipzig,Ein Frankfurt,1,1
2021-03-14,Stuttgart,Hoffenheim,2,0
2021-03-19,Bielefeld,RB Leipzig,0,1
2021-03-20,Bayern Munich,Stuttgart,4,0
2021-03-20,Ein Frankfurt,Union Berlin,5,2
2021-03-20,FC Koln,Dortmund,2,2
2021-03-20,Werder Bremen,Wolfsburg,1,2
2021-03-20,Schalke 04,M'gladbach,0,3
2021-03-21,Hoffenheim,Mainz,1,2
2021-03-21,Hertha,Leverkusen,3,0
2021-03-21,Freiburg,Augsburg,2,0
2021-04-03,Augsburg,Hoffenheim,2,1
2021-04-03,Dortmund,Ein Frankfurt,1,2
2021-04-03,Leverkusen,Schalke 04,2,1
2021-04-03,Mainz,Bielefeld,1,1
2021-04-03,Wolfsburg,FC Koln,1,0
2021-04-03,RB Leipzig,Bayern Munich,0,1
2021-04-03,M'gladbach,Freiburg,2,1
2021-04-04,Stuttgart,Werder Bremen,1,0
2021-04-04,Union Berlin,Hertha,1,1
2021-04-09,Bielefeld,Freiburg,1,0
2021-04-10,Bayern Munich,Union Berlin,1,1
2021-04-10,Ein Frankfurt,Wolfsburg,4,3
2021-04-10,Hertha,M'gladbach,2,2
2021-04-10,Werder Bremen,RB Leipzig,1,4
2021-04-10,Stuttgart,Dortmund,2,3
2021-04-11,Schalke 04,Augsburg,1,0
2021-04-11,FC Koln,Mainz,2,3
2021-04-12,Hoffenheim,Leverkusen,0,0
2021-04-16,RB Leipzig,Hoffenheim,0,0
2021-04-17,Augsburg,Bielefeld,0,0
2021-04-17,Freiburg,Schalke 04,4,0
2021-04-17,M'gladbach,Ein Frankfurt,4,0
2021-04-17,Union Berlin,Stuttgart,2,1
2021-04-17,Wolfsburg,Bayern Munich,2,3
2021-04-17,Leverkusen,FC Koln,3,0
2021-04-18,Dortmund,Werder Bremen,4,1
2021-04-20,FC Koln,RB Leipzig,2,1
2021-04-20,Bayern Munich,Leverkusen,2,0
2021-04-20,Bielefeld,Schalke 04,1,0
2021-04-20,Ein Frankfurt,Augsburg,2,0
2021-04-21,Dortmund,Union Berlin,2,0
2021-04-21,Hoffenheim,M'gladbach,3,2
2021-04-21,Stuttgart,Wolfsburg,1,3
2021-04-21,Werder Bremen,Mainz,0,1
2021-04-23,Augsburg,FC Koln,2,3
2021-04-24,Freiburg,Hoffenheim,1,1
2021-04-24,Mainz,Bayern Munich,2,1
2021-04-24,Union Berlin,Werder Bremen,3,1
2021-04-24,Wolfsburg,Dortmund,0,2
2021-04-24,Leverkusen,Ein Frankfurt,3,1
2021-04-25,RB Leipzig,Stuttgart,2,0
2021-04-25,M'gladbach,Bielefeld,5,0
2021-05-03,Mainz,Hertha,1,1
2021-05-06,Hertha,Freiburg,3,0
2021-05-07,Stuttgart,Augsburg,2,1
2021-05-08,Dortmund,RB Leipzig,3,2
2021-05-08,Hoffenheim,Schalke 04,4,2
2021-05-08,Werder Bremen,Leverkusen,0,0
2021-05-08,Wolfsburg,Union Berlin,3,0
2021-05-08,Bayern Munich,M'gladbach,6,0
2021-05-09,FC Koln,Freiburg,1,4
2021-05-09,Ein Frankfurt,Mainz,1,1
2021-05-09,Hertha,Bielefeld,0,0
2021-05-12,Schalke 04,Hertha,1,2
2021-05-15,Augsburg,Werder Bremen,2,0
2021-05-15,Bielefeld,Hoffenheim,1,1
2021-05-15,Freiburg,Bayern Munich,2,2
2021-05-15,Hertha,FC Koln,0,0
2021-05-15,Leverkusen,Union Berlin,1,1
2021-05-15,M'gladbach,Stuttgart,1,2
2021-05-15,Schalke 04,Ein Frankfurt,4,3
2021-05-16,Mainz,Dortmund,1,3
2021-05-16,RB Leipzig,Wolfsburg,2,2
2021-05-22,Bayern Munich,Augsburg,5,2
2021-05-22,Dortmund,Leverkusen,3,1
2021-05-22,Ein Frankfurt,Freiburg,3,1
2021-05-22,FC Koln,Schalke 04,1,0
2021-05-22,Hoffenheim,Hertha,2,1
2021-05-22,Stuttgart,Bielefeld,0,2
2021-05-22,Union Berlin,RB Leipzig,2,1
2021-05-22,Werder Bremen,M'gladbach,2,4
2021-05-22,Wolfsburg,Mainz,2,3
