Date,Home Team,Away Team,Home Goals,Away Goals
2024-04-28,Metz,Lille,1,2
2024-04-28,Clermont,Reims,4,1
2024-04-28,Lorient,Toulouse,1,2
2024-04-28,Strasbourg,Nice,1,3
2024-04-28,Rennes,Brest,4,5
2024-04-28,Lyon,Monaco,3,2
2024-04-28,Marseille,Lens,2,1
2024-05-03,Toulouse,Montpellier,1,2
2024-05-03,Lens,Lorient,2,0
2024-05-04,Le Havre,Strasbourg,3,1
2024-05-04,Monaco,Clermont,4,1
2024-05-04,Metz,Rennes,2,3
2024-05-04,Brest,Nantes,0,0
2024-05-06,Lille,Lyon,3,4
2024-05-10,Brest,Reims,1,1
2024-05-10,Nice,Le Havre,1,0
2024-05-12,Clermont,Lyon,0,1
2024-05-12,Marseille,Lorient,3,1
2024-05-12,Montpellier,Monaco,0,2
2024-05-12,Nantes,Lille,1,2
2024-05-12,Paris SG,Toulouse,1,3
2024-05-12,Rennes,Lens,1,1
2024-05-12,Strasbourg,Metz,2,1
2024-05-15,Nice,Paris SG,1,2
2024-05-15,Reims,Marseille,1,0
2024-05-19,Le Havre,Marseille,1,2
2024-05-19,Lens,Montpellier,2,2
2024-05-19,Lille,Nice,2,2
2024-05-19,Lorient,Clermont,5,0
2024-05-19,Lyon,Strasbourg,2,1
2024-05-19,Metz,Paris SG,0,2
2024-05-19,Monaco,Nantes,4,0
2024-05-19,Reims,Rennes,2,1
2024-05-19,Toulouse,Brest,0,3
