Date,Home Team,Away Team,Home Goals,Away Goals
2022-02-13,Levante,Betis,2,4
2022-02-13,Sociedad,Granada,2,0
2022-02-13,Espanol,Barcelona,2,2
2022-02-14,Mallorca,Ath Bilbao,3,2
2022-02-16,Ath Madrid,Levante,0,1
2022-02-18,Elche,Vallecano,2,1
2022-02-19,Granada,Villarreal,1,4
2022-02-19,Osasuna,Ath Madrid,0,3
2022-02-19,Cadiz,Getafe,1,1
2022-02-19,Real Madrid,Alaves,3,0
2022-02-20,Espanol,Sevilla,1,1
2022-02-20,Valencia,Barcelona,1,4
2022-02-20,Betis,Mallorca,2,1
2022-02-20,Ath Bilbao,Sociedad,4,0
2022-02-21,Celta,Levante,1,1
2022-02-25,Levante,Elche,3,0
2022-02-26,Mallorca,Valencia,0,1
2022-02-26,Getafe,Alaves,2,2
2022-02-26,Vallecano,Real Madrid,0,1
2022-02-26,Ath Madrid,Celta,2,0
2022-02-27,Villarreal,Espanol,5,1
2022-02-27,Sevilla,Betis,2,1
2022-02-27,Sociedad,Osasuna,1,0
2022-02-27,Barcelona,Ath Bilbao,4,0
2022-02-28,Granada,Cadiz,0,0
2022-03-02,Mallorca,Sociedad,0,2
2022-03-04,Alaves,Sevilla,0,0
2022-03-05,Osasuna,Villarreal,1,0
2022-03-05,Espanol,Getafe,2,0
2022-03-05,Valencia,Granada,3,1
2022-03-05,Real Madrid,Sociedad,4,1
2022-03-06,Cadiz,Vallecano,2,0
2022-03-06,Elche,Barcelona,1,2
2022-03-06,Celta,Mallorca,4,3
2022-03-06,Betis,Ath Madrid,1,3
2022-03-07,Ath Bilbao,Levante,3,1
2022-03-11,Ath Madrid,Cadiz,2,1
2022-03-12,Levante,Espanol,1,1
2022-03-12,Granada,Elche,0,1
2022-03-12,Villarreal,Celta,1,0
2022-03-12,Getafe,Valencia,0,0
2022-03-13,Vallecano,Sevilla,1,1
2022-03-13,Betis,Ath Bilbao,1,0
2022-03-13,Sociedad,Alaves,1,0
2022-03-13,Barcelona,Osasuna,4,0
2022-03-14,Mallorca,Real Madrid,0,3
2022-03-18,Ath Bilbao,Getafe,1,1
2022-03-19,Alaves,Granada,2,3
2022-03-19,Elche,Valencia,0,1
2022-03-19,Osasuna,Levante,3,1
2022-03-19,Vallecano,Ath Madrid,0,1
2022-03-20,Espanol,Mallorca,1,0
2022-03-20,Cadiz,Villarreal,1,0
2022-03-20,Celta,Betis,0,0
2022-03-20,Sevilla,Sociedad,0,0
2022-03-20,Real Madrid,Barcelona,0,4
2022-04-02,Getafe,Mallorca,1,0
2022-04-02,Levante,Villarreal,2,0
2022-04-02,Celta,Real Madrid,1,2
2022-04-02,Ath Madrid,Alaves,4,1
2022-04-03,Ath Bilbao,Elche,2,1
2022-04-03,Betis,Osasuna,4,1
2022-04-03,Granada,Vallecano,2,2
2022-04-03,Valencia,Cadiz,0,0
2022-04-03,Barcelona,Sevilla,1,0
2022-04-04,Sociedad,Espanol,1,0
2022-04-08,Sevilla,Granada,4,2
2022-04-09,Cadiz,Betis,1,2
2022-04-09,Mallorca,Ath Madrid,1,0
2022-04-09,Villarreal,Ath Bilbao,1,1
2022-04-09,Real Madrid,Getafe,2,0
2022-04-10,Osasuna,Alaves,1,0
