Date,Home Team,Away Team,Home Goals,Away Goals
2022-01-23,Cagliari,Fiorentina,1,1
2022-01-23,Napoli,Salernitana,4,1
2022-01-23,Spezia,Sampdoria,1,0
2022-01-23,Torino,Sassuolo,1,1
2022-01-23,Empoli,Roma,2,4
2022-01-23,Milan,Juventus,0,0
2022-02-05,Roma,Genoa,0,0
2022-02-05,Inter,Milan,1,2
2022-02-05,Fiorentina,Lazio,0,3
2022-02-06,Atalanta,Cagliari,1,2
2022-02-06,Bologna,Empoli,0,0
2022-02-06,Sampdoria,Sassuolo,4,0
2022-02-06,Venezia,Napoli,0,2
2022-02-06,Udinese,Torino,2,0
2022-02-06,Juventus,Verona,2,0
2022-02-07,Salernitana,Spezia,2,2
2022-02-12,Lazio,Bologna,3,0
2022-02-12,Napoli,Inter,1,1
2022-02-12,Torino,Venezia,1,2
2022-02-13,Milan,Sampdoria,1,0
2022-02-13,Empoli,Cagliari,1,1
2022-02-13,Genoa,Salernitana,1,1
2022-02-13,Verona,Udinese,4,0
2022-02-13,Sassuolo,Roma,2,2
2022-02-13,Atalanta,Juventus,1,1
2022-02-14,Spezia,Fiorentina,1,2
2022-02-18,Juventus,Torino,1,1
2022-02-19,Sampdoria,Empoli,2,0
2022-02-19,Roma,Verona,2,2
2022-02-19,Salernitana,Milan,2,2
2022-02-20,Fiorentina,Atalanta,1,0
2022-02-20,Venezia,Genoa,1,1
2022-02-20,Inter,Sassuolo,0,2
2022-02-20,Udinese,Lazio,1,1
2022-02-21,Cagliari,Napoli,1,1
2022-02-21,Bologna,Spezia,2,1
2022-02-25,Milan,Udinese,1,1
2022-02-25,Genoa,Inter,0,0
2022-02-26,Salernitana,Bologna,1,1
2022-02-26,Empoli,Juventus,2,3
2022-02-26,Sassuolo,Fiorentina,2,1
2022-02-27,Torino,Cagliari,1,2
2022-02-27,Verona,Venezia,3,1
2022-02-27,Spezia,Roma,0,1
2022-02-27,Lazio,Napoli,1,2
2022-02-28,Atalanta,Sampdoria,4,0
2022-03-04,Inter,Salernitana,5,0
2022-03-05,Udinese,Sampdoria,2,1
2022-03-05,Roma,Atalanta,1,0
2022-03-05,Cagliari,Lazio,0,3
2022-03-06,Genoa,Empoli,0,0
2022-03-06,Bologna,Torino,0,0
2022-03-06,Fiorentina,Verona,1,1
2022-03-06,Venezia,Sassuolo,1,4
2022-03-06,Juventus,Spezia,1,0
2022-03-06,Napoli,Milan,0,1
